Date,mac,signal,vendor
1550575562.29,ac:5f:3e:e8:5a:6f,-31,SAMSUNG ELECTRO-MECHANICS(THAILAND)
1550575562.5,ac:5f:3e:e8:5a:6f,-31,SAMSUNG ELECTRO-MECHANICS(THAILAND)
1550575562.81,ac:5f:3e:e8:5a:6f,-31,SAMSUNG ELECTRO-MECHANICS(THAILAND)
1550575565.21,ac:5f:3e:e8:5a:6f,-18,SAMSUNG ELECTRO-MECHANICS(THAILAND)
1550575565.42,ac:5f:3e:e8:5a:6f,-23,SAMSUNG ELECTRO-MECHANICS(THAILAND)
1550575565.93,ac:5f:3e:e8:5a:6f,-17,SAMSUNG ELECTRO-MECHANICS(THAILAND)
1550575566.14,ac:5f:3e:e8:5a:6f,-12,SAMSUNG ELECTRO-MECHANICS(THAILAND)
1550575566.24,ac:5f:3e:e8:5a:6f,-12,SAMSUNG ELECTRO-MECHANICS(THAILAND)
1550575566.46,ac:5f:3e:e8:5a:6f,-12,SAMSUNG ELECTRO-MECHANICS(THAILAND)
1550575566.55,ac:5f:3e:e8:5a:6f,-14,SAMSUNG ELECTRO-MECHANICS(THAILAND)
1550575566.66,ac:5f:3e:e8:5a:6f,-14,SAMSUNG ELECTRO-MECHANICS(THAILAND)
1550575566.77,ac:5f:3e:e8:5a:6f,-50,SAMSUNG ELECTRO-MECHANICS(THAILAND)
1550575566.77,ac:5f:3e:e8:5a:6f,-13,SAMSUNG ELECTRO-MECHANICS(THAILAND)
1550575566.87,ac:5f:3e:e8:5a:6f,-13,SAMSUNG ELECTRO-MECHANICS(THAILAND)
1550575566.87,ac:5f:3e:e8:5a:6f,-40,SAMSUNG ELECTRO-MECHANICS(THAILAND)
1550575566.87,ac:5f:3e:e8:5a:6f,-40,SAMSUNG ELECTRO-MECHANICS(THAILAND)
1550575566.88,ac:5f:3e:e8:5a:6f,-13,SAMSUNG ELECTRO-MECHANICS(THAILAND)
1550575566.97,ac:5f:3e:e8:5a:6f,-13,SAMSUNG ELECTRO-MECHANICS(THAILAND)
1550575566.97,ac:5f:3e:e8:5a:6f,-22,SAMSUNG ELECTRO-MECHANICS(THAILAND)
1550575566.97,ac:5f:3e:e8:5a:6f,-22,SAMSUNG ELECTRO-MECHANICS(THAILAND)
1550575566.98,ac:5f:3e:e8:5a:6f,-20,SAMSUNG ELECTRO-MECHANICS(THAILAND)
1550575567.07,ac:5f:3e:e8:5a:6f,-20,SAMSUNG ELECTRO-MECHANICS(THAILAND)
1550575567.08,ac:5f:3e:e8:5a:6f,-14,SAMSUNG ELECTRO-MECHANICS(THAILAND)
1550575567.08,ac:5f:3e:e8:5a:6f,-18,SAMSUNG ELECTRO-MECHANICS(THAILAND)
1550575567.09,ac:5f:3e:e8:5a:6f,-22,SAMSUNG ELECTRO-MECHANICS(THAILAND)
1550575567.18,ac:5f:3e:e8:5a:6f,-14,SAMSUNG ELECTRO-MECHANICS(THAILAND)
1550575567.18,ac:5f:3e:e8:5a:6f,-20,SAMSUNG ELECTRO-MECHANICS(THAILAND)
1550575567.19,ac:5f:3e:e8:5a:6f,-22,SAMSUNG ELECTRO-MECHANICS(THAILAND)
1550575567.19,ac:5f:3e:e8:5a:6f,-15,SAMSUNG ELECTRO-MECHANICS(THAILAND)
1550575567.39,ac:5f:3e:e8:5a:6f,-15,SAMSUNG ELECTRO-MECHANICS(THAILAND)
1550575567.6,ac:5f:3e:e8:5a:6f,-16,SAMSUNG ELECTRO-MECHANICS(THAILAND)
1550575567.8,ac:5f:3e:e8:5a:6f,-16,SAMSUNG ELECTRO-MECHANICS(THAILAND)
1550575568.32,da:a1:19:2d:16:01,-46,unknown
1550575568.32,da:a1:19:2d:16:01,-42,unknown
1550575568.33,da:a1:19:2d:16:01,-40,unknown
1550575568.34,da:a1:19:2d:16:01,-38,unknown
1550575568.43,da:a1:19:2d:16:01,-42,unknown
1550575568.95,ac:5f:3e:e8:5a:6f,-13,SAMSUNG ELECTRO-MECHANICS(THAILAND)
1550575568.95,ac:5f:3e:e8:5a:6f,-13,SAMSUNG ELECTRO-MECHANICS(THAILAND)
1550575568.95,ac:5f:3e:e8:5a:6f,-13,SAMSUNG ELECTRO-MECHANICS(THAILAND)
1550575569.16,ac:5f:3e:e8:5a:6f,-14,SAMSUNG ELECTRO-MECHANICS(THAILAND)
1550575569.88,ac:5f:3e:e8:5a:6f,-17,SAMSUNG ELECTRO-MECHANICS(THAILAND)
1550575570.4,ac:5f:3e:e8:5a:6f,-17,SAMSUNG ELECTRO-MECHANICS(THAILAND)
1550575570.51,ac:5f:3e:e8:5a:6f,-18,SAMSUNG ELECTRO-MECHANICS(THAILAND)
1550575570.92,ac:5f:3e:e8:5a:6f,-18,SAMSUNG ELECTRO-MECHANICS(THAILAND)
1550575570.93,ac:5f:3e:e8:5a:6f,-18,SAMSUNG ELECTRO-MECHANICS(THAILAND)
1550575570.93,ac:5f:3e:e8:5a:6f,-18,SAMSUNG ELECTRO-MECHANICS(THAILAND)
1550575571.03,ac:5f:3e:e8:5a:6f,-18,SAMSUNG ELECTRO-MECHANICS(THAILAND)
1550575571.04,ac:5f:3e:e8:5a:6f,-18,SAMSUNG ELECTRO-MECHANICS(THAILAND)
1550575571.04,ac:5f:3e:e8:5a:6f,-18,SAMSUNG ELECTRO-MECHANICS(THAILAND)
1550575571.04,ac:5f:3e:e8:5a:6f,-18,SAMSUNG ELECTRO-MECHANICS(THAILAND)
1550575571.04,ac:5f:3e:e8:5a:6f,-32,SAMSUNG ELECTRO-MECHANICS(THAILAND)
1550575571.04,ac:5f:3e:e8:5a:6f,-30,SAMSUNG ELECTRO-MECHANICS(THAILAND)
1550575571.04,ac:5f:3e:e8:5a:6f,-30,SAMSUNG ELECTRO-MECHANICS(THAILAND)
1550575571.04,ac:5f:3e:e8:5a:6f,-32,SAMSUNG ELECTRO-MECHANICS(THAILAND)
1550575571.13,ac:5f:3e:e8:5a:6f,-34,SAMSUNG ELECTRO-MECHANICS(THAILAND)
1550575571.14,ac:5f:3e:e8:5a:6f,-18,SAMSUNG ELECTRO-MECHANICS(THAILAND)
1550575571.23,ac:5f:3e:e8:5a:6f,-18,SAMSUNG ELECTRO-MECHANICS(THAILAND)
1550575571.24,ac:5f:3e:e8:5a:6f,-18,SAMSUNG ELECTRO-MECHANICS(THAILAND)
1550575571.24,ac:5f:3e:e8:5a:6f,-18,SAMSUNG ELECTRO-MECHANICS(THAILAND)
1550575571.35,ac:5f:3e:e8:5a:6f,-18,SAMSUNG ELECTRO-MECHANICS(THAILAND)
1550575571.35,ac:5f:3e:e8:5a:6f,-18,SAMSUNG ELECTRO-MECHANICS(THAILAND)
1550575571.44,ac:5f:3e:e8:5a:6f,-18,SAMSUNG ELECTRO-MECHANICS(THAILAND)
1550575571.45,ac:5f:3e:e8:5a:6f,-18,SAMSUNG ELECTRO-MECHANICS(THAILAND)
1550575571.45,ac:5f:3e:e8:5a:6f,-18,SAMSUNG ELECTRO-MECHANICS(THAILAND)
1550575571.54,ac:5f:3e:e8:5a:6f,-18,SAMSUNG ELECTRO-MECHANICS(THAILAND)
1550575571.55,ac:5f:3e:e8:5a:6f,-18,SAMSUNG ELECTRO-MECHANICS(THAILAND)
1550575571.55,ac:5f:3e:e8:5a:6f,-19,SAMSUNG ELECTRO-MECHANICS(THAILAND)
1550575571.65,ac:5f:3e:e8:5a:6f,-18,SAMSUNG ELECTRO-MECHANICS(THAILAND)
1550575571.65,ac:5f:3e:e8:5a:6f,-18,SAMSUNG ELECTRO-MECHANICS(THAILAND)
1550575571.66,ac:5f:3e:e8:5a:6f,-18,SAMSUNG ELECTRO-MECHANICS(THAILAND)
1550575571.75,ac:5f:3e:e8:5a:6f,-18,SAMSUNG ELECTRO-MECHANICS(THAILAND)
1550575571.76,ac:5f:3e:e8:5a:6f,-18,SAMSUNG ELECTRO-MECHANICS(THAILAND)
1550575571.77,ac:5f:3e:e8:5a:6f,-18,SAMSUNG ELECTRO-MECHANICS(THAILAND)
1550575571.86,ac:5f:3e:e8:5a:6f,-18,SAMSUNG ELECTRO-MECHANICS(THAILAND)
1550575571.87,ac:5f:3e:e8:5a:6f,-18,SAMSUNG ELECTRO-MECHANICS(THAILAND)
1550575571.87,ac:5f:3e:e8:5a:6f,-18,SAMSUNG ELECTRO-MECHANICS(THAILAND)
1550575571.97,ac:5f:3e:e8:5a:6f,-18,SAMSUNG ELECTRO-MECHANICS(THAILAND)
1550575571.97,ac:5f:3e:e8:5a:6f,-18,SAMSUNG ELECTRO-MECHANICS(THAILAND)
1550575572.06,ac:5f:3e:e8:5a:6f,-19,SAMSUNG ELECTRO-MECHANICS(THAILAND)
1550575572.07,ac:5f:3e:e8:5a:6f,-19,SAMSUNG ELECTRO-MECHANICS(THAILAND)
1550575572.07,ac:5f:3e:e8:5a:6f,-19,SAMSUNG ELECTRO-MECHANICS(THAILAND)
1550575572.17,ac:5f:3e:e8:5a:6f,-19,SAMSUNG ELECTRO-MECHANICS(THAILAND)
1550575572.17,ac:5f:3e:e8:5a:6f,-18,SAMSUNG ELECTRO-MECHANICS(THAILAND)
1550575572.18,ac:5f:3e:e8:5a:6f,-18,SAMSUNG ELECTRO-MECHANICS(THAILAND)
1550575572.28,ac:5f:3e:e8:5a:6f,-18,SAMSUNG ELECTRO-MECHANICS(THAILAND)
1550575572.28,ac:5f:3e:e8:5a:6f,-18,SAMSUNG ELECTRO-MECHANICS(THAILAND)
1550575572.28,ac:5f:3e:e8:5a:6f,-18,SAMSUNG ELECTRO-MECHANICS(THAILAND)
1550575572.28,ac:5f:3e:e8:5a:6f,-30,SAMSUNG ELECTRO-MECHANICS(THAILAND)
1550575572.28,ac:5f:3e:e8:5a:6f,-30,SAMSUNG ELECTRO-MECHANICS(THAILAND)
1550575572.29,ac:5f:3e:e8:5a:6f,-18,SAMSUNG ELECTRO-MECHANICS(THAILAND)
1550575572.38,ac:5f:3e:e8:5a:6f,-18,SAMSUNG ELECTRO-MECHANICS(THAILAND)
1550575572.38,ac:5f:3e:e8:5a:6f,-18,SAMSUNG ELECTRO-MECHANICS(THAILAND)
1550575572.38,ac:5f:3e:e8:5a:6f,-19,SAMSUNG ELECTRO-MECHANICS(THAILAND)
1550575572.48,ac:5f:3e:e8:5a:6f,-18,SAMSUNG ELECTRO-MECHANICS(THAILAND)
1550575572.48,ac:5f:3e:e8:5a:6f,-18,SAMSUNG ELECTRO-MECHANICS(THAILAND)
1550575572.49,ac:5f:3e:e8:5a:6f,-17,SAMSUNG ELECTRO-MECHANICS(THAILAND)
1550575572.49,ac:5f:3e:e8:5a:6f,-26,SAMSUNG ELECTRO-MECHANICS(THAILAND)
1550575572.49,ac:5f:3e:e8:5a:6f,-26,SAMSUNG ELECTRO-MECHANICS(THAILAND)
1550575572.49,ac:5f:3e:e8:5a:6f,-26,SAMSUNG ELECTRO-MECHANICS(THAILAND)
1550575572.49,ac:5f:3e:e8:5a:6f,-30,SAMSUNG ELECTRO-MECHANICS(THAILAND)
1550575572.58,ac:5f:3e:e8:5a:6f,-18,SAMSUNG ELECTRO-MECHANICS(THAILAND)
1550575572.59,ac:5f:3e:e8:5a:6f,-18,SAMSUNG ELECTRO-MECHANICS(THAILAND)
1550575572.59,ac:5f:3e:e8:5a:6f,-18,SAMSUNG ELECTRO-MECHANICS(THAILAND)
1550575572.59,ac:5f:3e:e8:5a:6f,-30,SAMSUNG ELECTRO-MECHANICS(THAILAND)
1550575572.59,ac:5f:3e:e8:5a:6f,-28,SAMSUNG ELECTRO-MECHANICS(THAILAND)
1550575572.59,ac:5f:3e:e8:5a:6f,-30,SAMSUNG ELECTRO-MECHANICS(THAILAND)
1550575572.59,ac:5f:3e:e8:5a:6f,-30,SAMSUNG ELECTRO-MECHANICS(THAILAND)
1550575572.6,ac:5f:3e:e8:5a:6f,-18,SAMSUNG ELECTRO-MECHANICS(THAILAND)
1550575572.6,ac:5f:3e:e8:5a:6f,-19,SAMSUNG ELECTRO-MECHANICS(THAILAND)
1550575572.6,ac:5f:3e:e8:5a:6f,-18,SAMSUNG ELECTRO-MECHANICS(THAILAND)
1550575572.6,ac:5f:3e:e8:5a:6f,-30,SAMSUNG ELECTRO-MECHANICS(THAILAND)
1550575572.69,ac:5f:3e:e8:5a:6f,-17,SAMSUNG ELECTRO-MECHANICS(THAILAND)
1550575572.7,ac:5f:3e:e8:5a:6f,-18,SAMSUNG ELECTRO-MECHANICS(THAILAND)
