Date,mac,signal,vendor
1550575638.95,ac:5f:3e:e8:5a:6f,-13,SAMSUNG ELECTRO-MECHANICS(THAILAND)
1550575639.16,ac:5f:3e:e8:5a:6f,-13,SAMSUNG ELECTRO-MECHANICS(THAILAND)
1550575640.3,ac:5f:3e:e8:5a:6f,-13,SAMSUNG ELECTRO-MECHANICS(THAILAND)
1550575640.72,ac:5f:3e:e8:5a:6f,-12,SAMSUNG ELECTRO-MECHANICS(THAILAND)
1550575641.34,ac:5f:3e:e8:5a:6f,-11,SAMSUNG ELECTRO-MECHANICS(THAILAND)
1550575644.26,ac:5f:3e:e8:5a:6f,-12,SAMSUNG ELECTRO-MECHANICS(THAILAND)
1550575647.38,ac:5f:3e:e8:5a:6f,-12,SAMSUNG ELECTRO-MECHANICS(THAILAND)
1550575647.79,ac:5f:3e:e8:5a:6f,-12,SAMSUNG ELECTRO-MECHANICS(THAILAND)
1550575649.15,da:a1:19:ee:0e:c2,-48,unknown
1550575649.15,da:a1:19:ee:0e:c2,-42,unknown
1550575649.16,da:a1:19:ee:0e:c2,-42,unknown
1550575649.25,da:a1:19:ee:0e:c2,-40,unknown
1550575649.26,da:a1:19:ee:0e:c2,-44,unknown
1550575649.46,ac:5f:3e:e8:5a:6f,-13,SAMSUNG ELECTRO-MECHANICS(THAILAND)
1550575649.77,ac:5f:3e:e8:5a:6f,-13,SAMSUNG ELECTRO-MECHANICS(THAILAND)
1550575650.5,ac:5f:3e:e8:5a:6f,-13,SAMSUNG ELECTRO-MECHANICS(THAILAND)
1550575650.81,ac:5f:3e:e8:5a:6f,-12,SAMSUNG ELECTRO-MECHANICS(THAILAND)
1550575651.75,ac:5f:3e:e8:5a:6f,-12,SAMSUNG ELECTRO-MECHANICS(THAILAND)
1550575651.75,ac:5f:3e:e8:5a:6f,-12,SAMSUNG ELECTRO-MECHANICS(THAILAND)
1550575651.75,ac:5f:3e:e8:5a:6f,-12,SAMSUNG ELECTRO-MECHANICS(THAILAND)
1550575651.75,ac:5f:3e:e8:5a:6f,-14,SAMSUNG ELECTRO-MECHANICS(THAILAND)
1550575651.75,ac:5f:3e:e8:5a:6f,-14,SAMSUNG ELECTRO-MECHANICS(THAILAND)
1550575651.75,ac:5f:3e:e8:5a:6f,-14,SAMSUNG ELECTRO-MECHANICS(THAILAND)
1550575651.85,ac:5f:3e:e8:5a:6f,-14,SAMSUNG ELECTRO-MECHANICS(THAILAND)
1550575651.97,ac:5f:3e:e8:5a:6f,-13,SAMSUNG ELECTRO-MECHANICS(THAILAND)
1550575652.68,ac:5f:3e:e8:5a:6f,-12,SAMSUNG ELECTRO-MECHANICS(THAILAND)
1550575652.79,ac:5f:3e:e8:5a:6f,-13,SAMSUNG ELECTRO-MECHANICS(THAILAND)
1550575653.21,ac:5f:3e:e8:5a:6f,-13,SAMSUNG ELECTRO-MECHANICS(THAILAND)
1550575653.31,ac:5f:3e:e8:5a:6f,-12,SAMSUNG ELECTRO-MECHANICS(THAILAND)
1550575653.83,ac:5f:3e:e8:5a:6f,-12,SAMSUNG ELECTRO-MECHANICS(THAILAND)
1550575653.94,ac:5f:3e:e8:5a:6f,-12,SAMSUNG ELECTRO-MECHANICS(THAILAND)
1550575654.66,ac:5f:3e:e8:5a:6f,-12,SAMSUNG ELECTRO-MECHANICS(THAILAND)
1550575654.97,ac:5f:3e:e8:5a:6f,-12,SAMSUNG ELECTRO-MECHANICS(THAILAND)
1550575655.18,ac:5f:3e:e8:5a:6f,-12,SAMSUNG ELECTRO-MECHANICS(THAILAND)
1550575655.28,ac:5f:3e:e8:5a:6f,-13,SAMSUNG ELECTRO-MECHANICS(THAILAND)
